"","delta_actual","total_progress","progress_velocity","time_since_last_progression","delta_rec","delta_esat","avg_QID2_1","avg_QID2_2","avg_QID2_3","avg_QID2_4","avg_QID2_5","avg_QID2_6","avg_QID2_7","avg_QID2_8","avg_QID2_9","avg_QID5_1","avg_QID5_2","avg_QID5_3","most_recent_job_levelContractor","most_recent_job_levelD-1","most_recent_job_levelD-2","most_recent_job_levelD-3","most_recent_job_levelD-4","most_recent_job_levelIC-1","most_recent_job_levelIC-2","most_recent_job_levelIC-3","most_recent_job_levelIC-4","most_recent_job_levelIC-5","most_recent_job_levelIC-6","most_recent_job_levelIC-7","most_recent_job_levelIC-8","most_recent_job_levelM-1","most_recent_job_levelM-2","most_recent_job_levelTD-1","most_recent_job_levelTD-2","most_recent_job_levelTD-3","most_recent_job_levelTechnical Fellow-TF","most_recent_job_levelVP","gender_paMan","gender_paNon-binary","gender_paNot Available","gender_paWoman","race_ethnicity_uniform_paAlaska Native","race_ethnicity_uniform_paAsian","race_ethnicity_uniform_paBlack","race_ethnicity_uniform_paHispanic","race_ethnicity_uniform_paMixed UK","race_ethnicity_uniform_paNot Available","race_ethnicity_uniform_paPacific Islander","race_ethnicity_uniform_paTwo or More","race_ethnicity_uniform_paWhite","is_remoteFALSE","is_remoteTRUE","random_forest_wo_na$is_termed"
"1",0,0,0,169.569918966272,0,0,4.5,4,5,5,5,4.5,4.5,4.5,4.5,4,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"1"
"2",0,2,0.5,6.00224485326325,0,0,4.5,4.5,5,4.5,3.5,4.5,3.5,4.5,5,4.5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"0"
"3",0,0,0,162.99961673237,0,0,4.33333333333333,3.66666666666667,4.66666666666667,4.66666666666667,5,4.66666666666667,5,4.66666666666667,5,3.66666666666667,1.66666666666667,2.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"0"
"4",0,0,0,159.58305957074,0,0,4,3.5,5,5,3.5,4,5,5,5,4.5,4.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"0"
"5",1,0,0,145.554095488392,0,1,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"1"
"6",1,0,0,145.325503723171,1,1,2,1,2,1,1,2,1.5,2,2,4,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"1"
"7",0,1,0.25,6.00224485326325,0,0,4,3,4.33333333333333,5,4,4.33333333333333,4.33333333333333,4,4,3.66666666666667,4,3.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"0"
"8",0,6,1.5,6.00224485326325,1,1,3,3,5,5,3.66666666666667,4,4.33333333333333,4,4,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"0"
"9",0,0,0,139.016644765659,0,0,5,4.5,4.5,4.5,4.5,5,5,5,5,5,4.5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"1"
"10",0,1,0.25,6.00224485326325,0,0,4.66666666666667,4.33333333333333,5,5,4,4,5,4.33333333333333,5,5,4.33333333333333,4.66666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"0"
